Model,Test Accuracy,Test Loss,Macro Precision,Macro Recall,Macro F1-Score
Custom CNN,0.671989381313324,0.8414981365203857,0.15366535015894423,0.14921552933481363,0.12737558772110802
MobileNetV2,0.7478376626968384,0.7427411675453186,0.5035660094824503,0.3701079576986302,0.402211996977133
