,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0,0,3,0,0,46,0
bcc,0,0,1,0,0,76,0
bkl,0,0,8,0,0,157,0
df,0,0,1,0,0,16,0
mel,0,0,3,0,0,164,0
nv,0,0,4,0,0,1002,0
vasc,0,0,0,0,0,22,0
