accuracy,loss,val_accuracy,val_loss
0.6708987355232239,0.9800963997840881,0.6897469758987427,0.8375214338302612
0.705563485622406,0.8356934785842896,0.7183755040168762,0.7534286379814148
0.7206847071647644,0.7983421683311462,0.7350199818611145,0.7369744181632996
0.7223965525627136,0.777962863445282,0.7310252785682678,0.7472876906394958
0.7253922820091248,0.7643550634384155,0.7177097201347351,0.7648007273674011
0.7320970296859741,0.7444393038749695,0.7563248872756958,0.6983819007873535
0.7383737564086914,0.7233962416648865,0.7396804094314575,0.7275364398956299
0.7396576404571533,0.7324329614639282,0.7509986758232117,0.7083984613418579
0.7419400811195374,0.7206637263298035,0.7463381886482239,0.6884399056434631
0.7455064058303833,0.7029082775115967,0.7490013241767883,0.6948065757751465
